"","baseMean","log2FoldChange","lfcSE","stat","pvalue"
"AARSD1",1042.02519999943,0.0304592249602343,0.0582205087342586,0.523170024144966,0.600855939480352
"AASDH",629.966410629603,-0.207656709621609,0.0786705318978915,-2.63957424224781,0.00830102391170158
"AASDHPPT",2857.59008801793,-0.0514430510343691,0.0592970346257018,-0.867548459363793,0.385641572256748
"AASS",2108.52237532543,-0.15069986388677,0.113945820422718,-1.32255718838744,0.18598267932655
"AATF",2152.26072659455,-0.0860284669373703,0.0752273599856018,-1.1435795029074,0.252798066162415
"AATK",1142.01603320354,0.486404264133002,0.211248788280069,2.30251859948251,0.0213059437541846
"AATK-AS1",2.58912347274278,0.426018721082218,0.240341344659996,1.77255695096861,0.0763021504404545
"ABAT",10809.0521229605,-0.000491779989674608,0.13346802746493,-0.00368462768960775,0.997060099106408
"ABCA1",5048.85282227493,-0.122589635888753,0.13087424996417,-0.936697905984676,0.348913973693746
"ABCA10",21.3670824667639,-0.102542531882011,0.164947254341988,-0.621668619408528,0.534159790016798
"ABCA11P",304.083666760148,0.0237818415259798,0.0949265159832592,0.250528962109743,0.802178310133889
"ABCA12",42.9706400877475,0.0620142435555235,0.171712718554593,0.361151137070881,0.717986467382408
"ABCA13",165.808536092627,0.0636240385983842,0.293889884377161,0.216489379119742,0.828606303111318
"ABCA17P",72.5388139516653,0.133585332628602,0.117853346654682,1.13348781702412,0.257009454488618
"ABCA2",7608.96131727395,0.327224830442342,0.147102361488497,2.2244702745165,0.0261168203072961
"ABCA3",5283.98985803494,-0.00174999658660171,0.109874186312259,-0.0159272768730981,0.987292408962622
"ABCA4",31.9860484019062,-0.0794373408885675,0.140668325074113,-0.564713775092688,0.572268463200994
"ABCA5",539.224633394445,-0.0771712711050938,0.169914861660193,-0.454176111206953,0.649702075567919
"ABCA6",90.9584290512361,-0.0646936029551921,0.231135895879442,-0.27989422719929,0.779558656313736
"ABCA7",454.655131633941,0.13115333890847,0.15385097658487,0.852469979845208,0.393953294039926
"ABCA8",1052.58536810884,-0.248152322416753,0.175200606662439,-1.41638962983085,0.156661458458064
"ABCA9",106.547287733426,-0.285801032029114,0.190370525853457,-1.50128824169513,0.133281024902954
"ABCB1",763.594438176543,-0.113419022693557,0.139285696819329,-0.814290521450136,0.415478538438206
"ABCB10",584.799762758323,-0.0766989599710465,0.0648000860412904,-1.18362435386543,0.236561795495666
"ABCB11",6.39165271357363,-0.64305348990369,0.338315116146328,-1.90075305303697,0.0573343659294458
"ABCB4",178.759135627668,-0.277683075413509,0.120181587120022,-2.31052927547209,0.0208588696818419
"ABCB5",5.79178817998425,0.207176976472464,0.253750836691737,0.816458298910548,0.414238064768669
"ABCB6",1940.42798861616,-0.0751454801287956,0.0746040474931664,-1.00725741637113,0.313811087776698
"ABCB7",1102.3397594348,-0.0438787927624404,0.0602317748922704,-0.728499082766884,0.466308129941053
"ABCB8",2321.40243535772,0.222477438924367,0.069485551672387,3.20177984587806,0.00136581338315783
"ABCB9",602.574003464283,0.00322981451839237,0.103451132268866,0.0312206782812023,0.97509354906796
"ABCC1",1248.93623353765,-0.07227011813263,0.115225707728738,-0.627204810082547,0.530524990618966
"ABCC10",828.14849460748,0.0441089654144592,0.0778605141663784,0.566512639772758,0.57104534299699
"ABCC11",35.3177313767061,-0.258639115218928,0.168050192948094,-1.53905872216888,0.123789961012856
"ABCC12",11.6618444680609,1.04837767853894,0.279884868574438,3.74574618441767,0.000179858368741142
"ABCC13",2.97268916150203,0.551600425975269,0.326445759906786,1.68971539447403,0.0910824166445418
"ABCC2",26.1869180944663,-0.549859679080688,0.162660366490968,-3.38041583787542,0.000723762370171658
"ABCC3",3091.30852744308,-0.227934679760547,0.244583325239603,-0.9319305784123,0.351372403524515
"ABCC4",877.79076677086,-0.00274872585232232,0.100431602780447,-0.0273691325859979,0.978165317649893
"ABCC5",1616.53687642369,-0.00981976149619363,0.0968479864792866,-0.101393553476652,0.919238053683045
"ABCC6",89.9199974629196,0.04815401666159,0.144626018049089,0.332955420547121,0.739167934217301
"ABCC6P1",46.1997561019125,0.120542456887313,0.173474775904069,0.694870226862101,0.487136632708216
"ABCC6P2",23.2127673975651,0.0545866292319456,0.175053461967273,0.311828333004638,0.755170990285158
"ABCC8",336.147014552556,-0.0994189577038954,0.235895539051782,-0.421453318293025,0.673424092179553
"ABCC9",498.491239338813,-0.122475588812209,0.174257072490602,-0.702844292410653,0.482152790972747
"ABCD1",956.459127479109,0.0767100937483929,0.094271065503335,0.813718327450952,0.415806332363545
"ABCD2",437.754757878741,-0.0178831214652945,0.164216807073361,-0.108899459099248,0.913282235670654
"ABCD3",3986.6457351236,-0.0751034071001822,0.0779261990754278,-0.963776085466285,0.335158198826731
"ABCD4",2234.18254165861,-0.0154388622863276,0.0823579174740906,-0.187460571610308,0.851299534942242
"ABCE1",2381.1009276913,-0.0692863479330359,0.0570789373233118,-1.21386891876732,0.224797783412477
"ABCF1",3728.478944157,-0.0114923879983102,0.0787365301549003,-0.145960051525016,0.883952924878548
"ABCF2",3539.26765105874,0.0473543962563173,0.0574832815460324,0.823794240389635,0.410056480769839
"ABCF3",2400.13882714659,-0.0296927264422642,0.0514687964175116,-0.576907340156134,0.564002051815975
